gen,AA,AB,BB,BO,OO,AO
335,0.115157,0.148896,0.0460186,0.189494,0.193474,0.306951
336,0.118236,0.148836,0.0471386,0.188274,0.196174,0.301331
337,0.117236,0.148896,0.0460786,0.190774,0.196134,0.300871
338,0.116996,0.147436,0.0444787,0.194134,0.195354,0.301591
339,0.114757,0.148236,0.0462386,0.193074,0.196354,0.301331
340,0.115177,0.147356,0.0469786,0.189874,0.198134,0.302471
341,0.116637,0.147196,0.0475386,0.189714,0.199194,0.299711
342,0.116357,0.146616,0.0478986,0.190414,0.195174,0.303531
343,0.119536,0.148036,0.0464786,0.190554,0.195414,0.299971
344,0.119176,0.148416,0.0473786,0.191574,0.193754,0.299691
345,0.117116,0.147776,0.0447387,0.191254,0.195014,0.304091
346,0.119316,0.147036,0.0440787,0.194034,0.194054,0.301471
347,0.117856,0.147016,0.0433387,0.191694,0.194234,0.305851
348,0.117516,0.149216,0.0454386,0.189454,0.195214,0.303151
349,0.118056,0.149796,0.0459986,0.187954,0.191954,0.306231
350,0.117476,0.149796,0.0466986,0.185774,0.194374,0.305871
351,0.116097,0.149876,0.0451786,0.187874,0.192594,0.308371
352,0.117516,0.147136,0.0465186,0.190394,0.195194,0.303231
353,0.117636,0.147976,0.0470986,0.188934,0.193334,0.305011
354,0.116477,0.150495,0.0447987,0.188554,0.194914,0.304751
355,0.121756,0.147456,0.0448987,0.186294,0.195394,0.304191
356,0.119196,0.144436,0.0458186,0.188554,0.197654,0.304331
357,0.118156,0.145036,0.0453186,0.191014,0.195714,0.304751
358,0.118636,0.147256,0.0445387,0.191794,0.192514,0.305251
359,0.120056,0.146736,0.0449187,0.191114,0.194734,0.302431
360,0.118616,0.147456,0.0446387,0.190114,0.194794,0.304371
361,0.120096,0.148876,0.0451786,0.186494,0.195234,0.304111
362,0.118636,0.146736,0.0454786,0.188174,0.195174,0.305791
363,0.120076,0.145376,0.0445187,0.195294,0.190334,0.304391
364,0.118136,0.150735,0.0459386,0.188154,0.193894,0.303131
365,0.118796,0.148596,0.0462386,0.189554,0.194314,0.302491
366,0.119076,0.150715,0.0468786,0.188474,0.193634,0.301211
367,0.120996,0.151175,0.0458586,0.189834,0.193754,0.298371
368,0.119536,0.148976,0.0473986,0.192594,0.187594,0.303891
369,0.120656,0.147896,0.0476986,0.190874,0.189514,0.303351
370,0.121216,0.150515,0.0473186,0.190434,0.188954,0.301551
371,0.118236,0.151675,0.0482386,0.189834,0.188134,0.303871
372,0.119616,0.150195,0.0467986,0.186014,0.192274,0.305091
373,0.118556,0.151075,0.0457786,0.188354,0.191634,0.304591
374,0.118156,0.149456,0.0469186,0.188994,0.190434,0.306031
375,0.119876,0.148676,0.0456386,0.189074,0.191674,0.305051
376,0.120016,0.146576,0.0477586,0.187874,0.193234,0.304531
377,0.121236,0.149356,0.0477586,0.187934,0.191154,0.302551
